name,uni,coll,header,image,p,d,a,n,pic
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n166226,Plant Sciences,http://vivo.nkn.uidaho.edu/individual/n144636,"Fu, Daolin ",/file/n145259/thumbnail_1200x1200-daolin-fu.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/pid63638,"Glaze, J Benton",/file/n122115/thumbnail_Glaze.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n62022,Agricultural and Extension Education,http://vivo.nkn.uidaho.edu/individual/n43424,"Guggenheim, Rich ",/file/n103413/thumbnail_unknown-person.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n436182,"Entomology, Plant Pathology and Nematology",http://vivo.nkn.uidaho.edu/individual/n75153,"Hafez, Saad",/file/n223822/thumbnail_1200x1200-Saad-Hafez.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n55529,Family & Consumer Science,http://vivo.nkn.uidaho.edu/individual/n32180,"Hansen, Kristin ",/file/n32226/thumbnail_1200x1200-kristin-hansen.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/n309487498,"Hardy, Ronald W",/file/n37270/thumbnail_Hardy+196X208.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n521894,Agricultural Systems Management,http://vivo.nkn.uidaho.edu/individual/pid560251,"Heimgartner, Marvin ",/file/n16767/thumbnail_marvin-heimgartner.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n140645,Soil and Water Systems,http://vivo.nkn.uidaho.edu/individual/pid560251,"Heimgartner, Marvin ",/file/n16767/thumbnail_marvin-heimgartner.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n140645,Soil and Water Systems,http://vivo.nkn.uidaho.edu/individual/n45832,"Heinse, Robert",/file/n114020/thumbnail_1200x1200-robert-heinse.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n39442,Agriculture Economics & Rural Sociology,http://vivo.nkn.uidaho.edu/individual/n25574,"Higgins, Lorie",/file/n417173/thumbnail_1200x1200-lori-higgins.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n166226,Plant Sciences,http://vivo.nkn.uidaho.edu/individual/a4457866457795,"Hong, Zonglie",/file/n56532/thumbnail_1200x1200-zonglie-hong.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n166226,Plant Sciences,http://vivo.nkn.uidaho.edu/individual/n102482,"Hutchinson, Pamela",/file/n47924/thumbnail_1200x1200-pamela-hutchison.jpg
